ad_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,CTR,CPC,Conversion_Rate
711217,35-39,F,20,26,23,2783.0,1,1.600000024,0.035932446999640676,1.600000024,0.0
1121367,35-39,M,28,31,29,1447755.0,233,420.5799983,0.016093883288263555,1.805064370386266,3.4334763948497855
782135,30-34,F,16,20,17,25267.0,4,4.940000057,0.015830925713381093,1.23500001425,25.0
951856,30-34,F,20,23,21,4626.0,2,2.099999905,0.043233895373973194,1.0499999525,0.0
1121530,40-44,M,30,36,33,188873.0,38,58.5999999,0.02011933945031847,1.5421052605263157,2.631578947368421
747369,35-39,M,16,17,21,13355.0,2,3.180000067,0.014975664545114188,1.5900000335,50.0
1121142,30-34,M,23,24,27,26890.0,2,3.24000001,0.007437709185570845,1.620000005,0.0
738389,40-44,F,10,16,12,27081.0,9,10.77000046,0.03323363243602526,1.1966667177777779,11.11111111111111
777398,35-39,M,24,27,30,3029.0,1,1.049999952,0.033014196104324864,1.049999952,100.0
711764,45-49,F,10,16,11,11199.0,4,5.730000019,0.035717474774533436,1.43250000475,25.0
782407,45-49,F,10,12,11,33664.0,11,12.51000035,0.03267585551330798,1.137272759090909,0.0
1121296,35-39,M,15,17,19,180351.0,21,37.13000011,0.011643960942828152,1.7680952433333332,4.761904761904762
776464,45-49,F,29,30,31,7550.0,1,1.679999948,0.013245033112582781,1.679999948,100.0
950521,30-34,M,21,27,25,351.0,0,0.0,0.0,0.0,0.0
777871,30-34,M,20,26,23,4616.0,1,1.360000014,0.02166377816291161,1.360000014,0.0
748086,40-44,F,16,19,18,34127.0,8,13.07000017,0.023441849561930433,1.63375002125,0.0
1121359,35-39,M,26,28,27,7573.0,0,0.0,0.0,0.0,0.0
710360,45-49,M,21,26,24,2182.0,1,1.529999971,0.045829514207149404,1.529999971,100.0
747222,30-34,M,16,22,20,12489.0,2,1.960000038,0.016014092401313153,0.980000019,0.0
781950,30-34,F,20,26,21,1984.0,0,0.0,0.0,0.0,0.0
708958,30-34,M,28,32,31,9502.0,3,3.159999967,0.03157230056830141,1.0533333223333334,0.0
1121433,35-39,M,66,69,72,80248.0,15,24.1900003,0.018692054630645,1.6126666866666668,6.666666666666667
747859,30-34,F,27,32,33,22572.0,5,8.5,0.022151337940811627,1.7,0.0
1121141,30-34,M,23,29,27,23198.0,2,2.980000019,0.008621432882145013,1.4900000095,0.0
950179,30-34,M,16,22,19,3423.0,0,0.0,0.0,0.0,0.0
951810,35-39,F,16,17,22,2226.0,0,0.0,0.0,0.0,0.0
776663,30-34,M,16,19,22,15753.0,1,0.569999993,0.006347997206881229,0.569999993,100.0
776476,30-34,M,16,17,18,43756.0,5,5.439999938,0.011427004296553616,1.0879999876,0.0
781175,40-44,F,15,16,21,5859.0,1,1.539999962,0.017067759003242877,1.539999962,0.0
737931,30-34,F,20,26,24,3343.0,1,0.540000021,0.029913251570445706,0.540000021,0.0
779922,30-34,F,18,22,24,5823.0,1,1.419999957,0.01717327837884252,1.419999957,100.0
950224,40-44,M,20,21,23,2367.0,2,2.839999914,0.08449514152936206,1.419999957,50.0
781499,35-39,M,15,21,20,6412.0,1,1.370000005,0.015595757953836557,1.370000005,0.0
780700,30-34,F,27,33,30,3745.0,0,0.0,0.0,0.0,0.0
1121562,40-44,M,64,65,67,109289.0,19,31.02999997,0.017385098225804977,1.6331578931578947,0.0
1121244,30-34,M,36,41,41,181683.0,20,34.22999972,0.011008184585239125,1.7114999860000002,5.0
1121469,40-44,M,20,26,21,399035.0,75,124.7999995,0.018795343766837495,1.6639999933333334,4.0
1121131,30-34,M,21,27,25,83591.0,7,14.14000046,0.008374107260350995,2.0200000657142856,28.57142857142857
735184,40-44,F,63,66,67,4412.0,1,1.450000048,0.022665457842248413,1.450000048,0.0
747795,30-34,F,15,21,18,8410.0,2,2.359999895,0.023781212841854936,1.1799999475,50.0
1121101,30-34,M,15,17,21,29945.0,1,1.590000033,0.0033394556687259976,1.590000033,100.0
780748,30-34,F,24,26,28,830.0,0,0.0,0.0,0.0,0.0
781556,30-34,F,32,37,36,1772.0,0,0.0,0.0,0.0,0.0
738606,45-49,F,19,20,23,529.0,0,0.0,0.0,0.0,0.0
1121336,35-39,M,22,24,24,275080.0,43,69.65999997,0.01563181619892395,1.6199999993023255,6.976744186046512
1121241,30-34,M,36,40,37,24952.0,5,8.220000267,0.020038473869830074,1.6440000533999999,40.0
735290,45-49,F,27,29,33,12215.0,4,6.26000011,0.03274662300450266,1.5650000275,0.0
950649,30-34,M,64,67,70,429.0,0,0.0,0.0,0.0,0.0
951402,30-34,F,29,32,31,1118.0,0,0.0,0.0,0.0,0.0
1121523,40-44,M,29,32,34,76923.0,11,17.67000008,0.014300014300014301,1.6063636436363637,18.181818181818183
951392,30-34,F,28,31,32,2749.0,1,1.389999986,0.036376864314296105,1.389999986,0.0
776696,30-34,M,10,11,12,7966.0,1,1.179999948,0.012553351744915892,1.179999948,100.0
1121177,30-34,M,26,28,29,26316.0,2,3.24000001,0.007599939200486396,1.620000005,0.0
951498,45-49,F,20,22,21,259.0,0,0.0,0.0,0.0,0.0
1121279,30-34,M,7,10,13,93891.0,11,17.6400001,0.011715712901130035,1.6036363727272729,27.27272727272727
1121119,30-34,M,19,21,22,345371.0,54,93.08999991,0.015635360235804394,1.7238888872222222,5.555555555555555
779645,30-34,F,16,21,20,27289.0,3,4.429999828,0.010993440580453663,1.4766666093333332,0.0
780759,45-49,F,18,24,22,2912.0,0,0.0,0.0,0.0,0.0
711877,45-49,F,63,67,65,17572.0,7,9.379999995,0.03983610289096289,1.3399999992857143,0.0
1121289,35-39,M,10,14,13,98066.0,9,16.1500001,0.009177492708991904,1.7944444555555554,0.0
1121110,30-34,M,18,20,22,880814.0,123,210.3600006,0.013964355698251843,1.7102439073170732,1.6260162601626018
1121548,40-44,M,36,38,37,59004.0,8,13.51000011,0.013558402820147787,1.68875001375,0.0
950109,30-34,M,20,24,22,343.0,0,0.0,0.0,0.0,0.0
1121482,40-44,M,22,24,24,180815.0,31,42.62999976,0.017144595304593092,1.375161282580645,0.0
1121322,35-39,M,20,22,24,237603.0,37,62.25000024,0.015572193953780044,1.682432438918919,5.405405405405405
737961,30-34,F,23,29,28,523.0,0,0.0,0.0,0.0,0.0
1121297,35-39,M,15,16,16,187329.0,29,53.15999961,0.015480785142716825,1.8331034348275863,3.4482758620689653
1121175,30-34,M,26,28,29,209461.0,20,34.19000006,0.009548316870443663,1.709500003,0.0
777166,30-34,M,63,69,65,2383.0,0,0.0,0.0,0.0,0.0
781207,35-39,F,64,67,70,2755.0,0,0.0,0.0,0.0,0.0
776661,30-34,M,16,18,22,15466.0,1,0.970000029,0.006465795939480151,0.970000029,0.0
1121233,30-34,M,32,34,36,57690.0,4,6.74000001,0.006933610677760443,1.6850000025,0.0
776662,30-34,M,16,18,22,27072.0,3,4.370000005,0.011081560283687944,1.4566666683333331,0.0
1121381,35-39,M,30,31,36,95691.0,15,25.26000011,0.015675455371978557,1.6840000073333334,6.666666666666667
951102,45-49,M,16,18,19,2254.0,0,0.0,0.0,0.0,0.0
747903,30-34,F,63,69,69,1491.0,0,0.0,0.0,0.0,0.0
748007,35-39,F,27,29,28,10164.0,2,3.720000029,0.01967729240456513,1.8600000145,50.0
1121229,30-34,M,32,36,37,404866.0,43,87.42000079,0.010620797992422184,2.033023274186047,0.0
1121467,40-44,M,19,20,24,42563.0,5,9.659999847,0.011747292249136574,1.9319999694,20.0
1121168,30-34,M,25,27,28,50523.0,6,8.549999952,0.011875779348019715,1.424999992,0.0
778964,35-39,F,27,33,28,112460.0,25,41.29000068,0.0222301262671172,1.6516000272,0.0
709115,30-34,M,30,34,31,2305.0,1,0.569999993,0.04338394793926247,0.569999993,0.0
778085,30-34,M,26,32,31,11735.0,3,4.529999971,0.025564550489987216,1.5099999903333332,33.33333333333333
950787,30-34,M,27,32,30,199.0,0,0.0,0.0,0.0,0.0
780104,30-34,F,25,27,26,4971.0,1,1.230000019,0.020116676725005028,1.230000019,100.0
781857,30-34,M,20,21,24,9134.0,3,4.180000067,0.032844317932997594,1.3933333556666667,0.0
777131,35-39,M,16,19,21,6359.0,0,0.0,0.0,0.0,0.0
776552,30-34,F,16,17,18,21596.0,2,2.809999943,0.009260974254491572,1.4049999715,0.0
1121263,30-34,M,64,66,69,156101.0,19,29.75000048,0.012171606844286711,1.5657894989473684,10.526315789473683
777816,40-44,M,2,7,7,500.0,0,0.0,0.0,0.0,0.0
1121116,30-34,M,19,20,24,572450.0,89,157.329998,0.015547209363263169,1.7677527865168539,4.49438202247191
735048,35-39,F,64,65,68,1393.0,0,0.0,0.0,0.0,0.0
747332,30-34,M,64,68,65,792.0,0,0.0,0.0,0.0,0.0
1121334,35-39,M,22,24,26,108362.0,13,22.42999983,0.01199682545541795,1.7253846023076922,7.6923076923076925
735151,40-44,F,28,30,31,926.0,0,0.0,0.0,0.0,0.0
1121167,30-34,M,25,29,31,1063508.0,145,260.3800013,0.013634124049842596,1.7957241468965517,4.827586206896552
1121344,35-39,M,24,27,27,165177.0,23,41.71999967,0.013924456794832209,1.8139130291304348,4.3478260869565215
776861,45-49,M,7,9,12,16461.0,6,9.21999979,0.03644979041370512,1.5366666316666666,0.0
1121370,35-39,M,28,33,32,550954.0,84,150.1400012,0.0152462819037524,1.7873809666666667,0.0
1121278,30-34,M,7,13,10,1044442.0,142,245.5999999,0.013595776500753514,1.729577464084507,5.633802816901409
951464,45-49,F,16,17,21,20997.0,10,11.94999981,0.0476258513120922,1.194999981,0.0
1121572,40-44,M,2,6,3,32574.0,5,7.480000019,0.015349665377294775,1.4960000038,0.0
1121251,30-34,M,63,65,69,212175.0,22,38.58999968,0.010368799340167314,1.7540908945454545,4.545454545454546
1121304,35-39,M,16,17,20,94257.0,7,12.5800004,0.007426504132319085,1.7971429142857143,14.285714285714285
734803,30-34,F,18,19,21,1631.0,0,0.0,0.0,0.0,0.0
710480,30-34,F,16,21,20,57665.0,14,18.06999969,0.024278158328275384,1.2907142635714286,7.142857142857142
1121483,40-44,M,22,26,23,253169.0,51,75.78999984,0.020144646461454602,1.486078428235294,0.0
748091,40-44,F,16,17,19,41720.0,10,12.06000006,0.023969319271332692,1.206000006,10.0
950770,30-34,M,28,31,30,7780.0,3,4.329999924,0.038560411311053984,1.443333308,66.66666666666666
776338,45-49,F,10,12,11,48291.0,11,18.01999998,0.022778571576484233,1.6381818163636366,0.0
777187,40-44,M,27,31,28,11292.0,3,5.389999866,0.026567481402763018,1.796666622,33.33333333333333
780318,45-49,F,29,32,31,162341.0,56,77.07999969,0.034495290776821626,1.376428565892857,0.0
776383,45-49,F,23,27,29,1168.0,0,0.0,0.0,0.0,0.0
734660,45-49,M,18,22,23,1299.0,0,0.0,0.0,0.0,0.0
737657,45-49,M,18,23,20,7478.0,2,2.900000095,0.02674511901577962,1.4500000475,50.0
738528,40-44,F,30,34,33,402.0,0,0.0,0.0,0.0,0.0
1121374,35-39,M,29,34,35,327158.0,43,72.3100003,0.013143496414576444,1.6816279139534884,4.651162790697675
1121590,45-49,M,10,16,15,478480.0,75,135.7500012,0.015674636348436716,1.8100000160000003,1.3333333333333335
1121261,30-34,M,64,67,65,103001.0,14,22.32000005,0.013592101047562644,1.594285717857143,0.0
777248,30-34,F,7,9,10,3989.0,1,1.279999971,0.0250689395838556,1.279999971,0.0
778529,30-34,M,31,35,33,2214.0,0,0.0,0.0,0.0,0.0
